Instruction,Stimulus,Key,RT,START,END,Phase,Block,TrialN,NbackLevel,ISI,LetterN,Letter,Letter_isSame,Letter_Resp,Letter_RT,Letter_Accuracy,Letter_Timeout,Trial_A_measure,Trial_HR,Trial_FAR,Trial_CDR,Trial_MSR,Trial_ACC,Trial_RT,Trial_HitsCount,Trial_FAsCount,Trial_SameNoRespCount,Trial_DiffNoRespCount,Trial_NoRespCount,Trial_CDsCount,Trial_CorrectRespCount,Trial_SameLetterCount,Trial_DiffLetterCount,Trial_InvalidLetterCount,TrialCountCali,CaliEnd_A_measure,ISI_calibrated,Run,TrialIndex,TrialNumber_total,TrialNumber_valid,CueLearning,TrialDemandLearning,CueMapping,OnlineRating,OnlineRatingRT,OnlineRatingTimeOut,CueSTART,RatingSTART,OfflineRatingTimePoint,OfflineRatingQuesIndex,CueFigure,TrialDemand,OfflineRating,OfflineRatingRT,CueStart,OfflineRatingStart,PhaseType,CueLeft,CueDemandLeft,CueRight,CueDemandRight,Choice,ChoiceDemand,TaskDemand,ChoiceRT,ChoiceTimeOut,ChoiceSTART,CueCheck,CueDemandCheck,CorrectAnswer,Answer,AnswerDemand,AnswerRT,AnswerACC,AnswerTimeOut,CheckSTART,DemandRatingQuesIndex,QuesTLX,DemandLevel,DemandRating,DemandRatingRT,QuesStart,PID,SONA,Age,Gender,Run,TIME,EXPERIMENTER,frameRate
-1,./instructions/inst_begin/Slide2.png,left,15.74032466,0.630572736,16.37089739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
0,./instructions/inst_begin/Slide4.png,right,16.97607447,16.43485616,33.41093063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
1,./instructions/inst_begin/Slide2.png,right,3.586622322,33.4483781,37.03500042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
2,./instructions/inst_begin/Slide3.png,right,11.67640165,37.13459508,48.81099673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
3,./instructions/inst_begin/Slide4.png,right,7.158704306,48.85220984,56.01091414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
1,./instructions/inst_prac_2/Slide6.png,right,26.04304703,56.09625274,82.13929978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
2,./instructions/inst_prac_2/Slide7.png,right,19.72926277,82.20985264,101.9391154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
3,./instructions/inst_prac_2/Slide8.png,right,6.686455046,101.9966241,108.6830791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
4,./instructions/inst_prac_2/Slide9.png,right,5.549004218,108.7419601,114.2909643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
5,./instructions/inst_prac_2/Slide10.png,right,0.988420503,114.3664081,115.3548286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
6,./instructions/inst_prac_2/Slide11.png,right,1.331059109,115.4079521,116.7390112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
7,./instructions/inst_prac_2/Slide12.png,right,2.245411767,116.8054214,119.0508332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
8,./instructions/inst_prac_2/Slide13.png,right,1.104669886,119.1062706,120.2109405,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
9,./instructions/inst_prac_2/Slide14.png,right,28.63473652,120.2642655,148.899002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
10,./instructions/inst_prac_2/Slide15.png,right,27.98393829,148.9629545,176.9468928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
,,,,,,practice,0,14,2,2583,1,J,0,right,8.479580787,1,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,159208,21,Female,1,2024/02/13_08:53:38,YZ,59.92490152
